"density","infectioness","mortality","speed","step","infected"
0.9,0.9,1.4,1.5,38,2333.06666666667
0.9,0.9,1.4,1.5,39,2433.33333333333
0.9,0.9,1.4,1.5,40,2522
0.9,0.9,1.4,1.5,41,2601.33333333333
0.9,0.9,1.4,1.5,42,2670.8
0.9,0.9,1.4,1.5,43,2717.93333333333
0.9,0.9,1.4,1.5,44,2749.23333333333
0.9,0.9,1.4,1.5,45,2767.43333333333
0.9,0.9,1.4,1.5,46,2776.8
0.9,0.9,1.4,1.5,47,2771.53333333333
0.9,0.9,1.4,1.5,48,2752.33333333333
0.9,0.9,1.4,1.5,49,2716.8
0.9,0.9,1.4,1.5,50,2670.03333333333
0.9,0.9,1.4,1.5,51,2616.53333333333
0.9,0.9,1.4,1.5,52,2550.83333333333
0.9,0.9,1.4,1.5,53,2472.46666666667
0.9,0.9,1.4,1.5,54,2387.73333333333
0.9,0.9,1.4,1.5,55,2287.8
0.9,0.9,1.4,1.5,56,2176.13333333333
0.9,0.9,1.4,1.5,57,2060.03333333333
0.9,0.9,1.4,1.5,58,1940.1
0.9,0.9,1.4,1.5,59,1818.06666666667
0.9,0.9,1.4,1.5,60,1687.7
0.9,0.9,1.4,1.5,61,1549.56666666667
0.9,0.9,1.4,1.5,62,1408.8
0.9,0.9,1.4,1.5,63,1263.9
0.9,0.9,1.4,1.5,64,1126.66666666667
0.9,0.9,1.4,1.5,65,990.366666666667
0.9,0.9,1.4,1.5,66,864.033333333333
0.9,0.9,1.4,1.5,67,743.766666666667
0.9,0.9,1.4,1.5,68,637.1
0.9,0.9,1.4,1.5,69,540.666666666667
0.9,0.9,1.4,1.5,70,451.7
0.9,0.9,1.4,1.5,71,371.666666666667
0.9,0.9,1.4,1.5,72,304.5
0.9,0.9,1.4,1.5,73,245.533333333333
0.9,0.9,1.4,1.5,74,193.533333333333
0.9,0.9,1.4,1.5,75,148.533333333333
0.9,0.9,1.4,1.5,76,108.3
0.9,0.9,1.4,1.5,77,78.2333333333333
0.9,0.9,1.4,1.5,78,55.9666666666667
0.9,0.9,1.4,1.5,79,36.6
0.9,0.9,1.4,1.5,80,24
0.9,0.9,1.4,1.5,81,15.5666666666667
0.9,0.9,1.4,1.5,82,10.2
0.9,0.9,1.4,1.5,83,6.9
0.9,0.9,1.4,1.5,84,5
0.9,0.9,1.4,1.5,85,4.07142857142857
0.9,0.9,1.4,1.5,86,2.96296296296296
0.9,0.9,1.4,1.5,87,2.5
0.9,0.9,1.4,1.5,88,2
0.9,0.9,1.4,1.5,89,1.30434782608696
0.9,0.9,1.4,1.5,90,1.27777777777778
0.9,0.9,1.4,1.5,91,0.928571428571429
0.9,0.9,1.4,1.5,92,0.833333333333333
0.9,0.9,1.4,1.5,93,0.777777777777778
0.9,0.9,1.4,1.5,94,1
0.9,0.9,1.4,1.5,95,1.2
0.9,0.9,1.4,1.5,96,0.4
0.9,0.9,1.4,1.5,97,0.5
0.9,0.9,1.4,1.5,98,1
0.9,0.9,1.4,1.5,99,0
0.9,0.9,1.4,2,0,0
0.9,0.9,1.4,2,1,6.26666666666667
0.9,0.9,1.4,2,2,10.7
0.9,0.9,1.4,2,3,15.2333333333333
0.9,0.9,1.4,2,4,19.8
0.9,0.9,1.4,2,5,26.1333333333333
0.9,0.9,1.4,2,6,41.9333333333333
0.9,0.9,1.4,2,7,66.4333333333333
0.9,0.9,1.4,2,8,96.4333333333333
0.9,0.9,1.4,2,9,131.433333333333
0.9,0.9,1.4,2,10,169.9
