"BehaviorSpace results (NetLogo 6.2.0)"
"epidemic.nlogo"
"experiment_3"
"02/17/2021 17:51:29:939 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","65","0","65"
"[run number]","density","infectioness","mortality","speed","[step]","infected","cured","dead"
"4","0.2","0.9","1.4","2.5","0","0","0","0"
"3","0.2","0.9","1.4","2.5","0","0","0","0"
"2","0.2","0.9","1.4","2.5","0","0","0","0"
"3","0.2","0.9","1.4","2.5","1","1","0","0"
"4","0.2","0.9","1.4","2.5","1","1","0","0"
"2","0.2","0.9","1.4","2.5","1","1","0","0"
"3","0.2","0.9","1.4","2.5","2","1","0","0"
"4","0.2","0.9","1.4","2.5","2","1","0","0"
"2","0.2","0.9","1.4","2.5","2","1","0","0"
"3","0.2","0.9","1.4","2.5","3","5","0","0"
"4","0.2","0.9","1.4","2.5","3","2","0","0"
"3","0.2","0.9","1.4","2.5","4","5","0","0"
"2","0.2","0.9","1.4","2.5","3","1","0","0"
"4","0.2","0.9","1.4","2.5","4","2","0","0"
"3","0.2","0.9","1.4","2.5","5","5","0","0"
"2","0.2","0.9","1.4","2.5","4","4","0","0"
"4","0.2","0.9","1.4","2.5","5","2","0","0"
"3","0.2","0.9","1.4","2.5","6","5","0","0"
"2","0.2","0.9","1.4","2.5","5","4","0","0"
"4","0.2","0.9","1.4","2.5","6","2","0","0"
"3","0.2","0.9","1.4","2.5","7","5","0","0"
"2","0.2","0.9","1.4","2.5","6","4","0","0"
"4","0.2","0.9","1.4","2.5","7","2","0","0"
"3","0.2","0.9","1.4","2.5","8","6","0","0"
"2","0.2","0.9","1.4","2.5","7","7","0","0"
"3","0.2","0.9","1.4","2.5","9","7","0","0"
"4","0.2","0.9","1.4","2.5","8","2","0","0"
"2","0.2","0.9","1.4","2.5","8","7","0","0"
"3","0.2","0.9","1.4","2.5","10","8","0","0"
"2","0.2","0.9","1.4","2.5","9","7","0","0"
"4","0.2","0.9","1.4","2.5","9","2","0","0"
"3","0.2","0.9","1.4","2.5","11","11","0","0"
"2","0.2","0.9","1.4","2.5","10","8","0","0"
"4","0.2","0.9","1.4","2.5","10","5","0","0"
"3","0.2","0.9","1.4","2.5","12","12","0","0"
"2","0.2","0.9","1.4","2.5","11","9","0","0"
"4","0.2","0.9","1.4","2.5","11","5","0","0"
"3","0.2","0.9","1.4","2.5","13","12","0","0"
"2","0.2","0.9","1.4","2.5","12","10","0","0"
"4","0.2","0.9","1.4","2.5","12","6","0","0"
