"BehaviorSpace results (NetLogo 6.2.0)"
"epidemic.nlogo"
"experiment_2"
"02/17/2021 17:10:12:810 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","65","0","65"
"[run number]","density","infectioness","mortality","speed","[step]","infected","cured","dead"
"4","0.9","0.9","1.4","1","29","753","17","1"
"1","0.9","0.9","1.4","1","30","711","20","9"
"3","0.9","0.9","1.4","1","26","681","7","2"
"4","0.9","0.9","1.4","1","30","808","19","1"
"2","0.9","0.9","1.4","1","32","778","32","7"
"1","0.9","0.9","1.4","1","31","757","29","13"
"3","0.9","0.9","1.4","1","27","733","15","3"
"4","0.9","0.9","1.4","1","31","838","26","3"
"2","0.9","0.9","1.4","1","33","804","48","8"
"1","0.9","0.9","1.4","1","32","800","36","14"
"3","0.9","0.9","1.4","1","28","768","22","3"
"4","0.9","0.9","1.4","1","32","860","42","3"
"2","0.9","0.9","1.4","1","34","844","63","9"
"1","0.9","0.9","1.4","1","33","847","51","15"
"3","0.9","0.9","1.4","1","29","829","25","5"
"2","0.9","0.9","1.4","1","35","875","69","10"
"4","0.9","0.9","1.4","1","33","886","63","6"
"3","0.9","0.9","1.4","1","30","900","31","6"
"2","0.9","0.9","1.4","1","36","935","77","13"
"3","0.9","0.9","1.4","1","31","953","53","7"
"2","0.9","0.9","1.4","1","37","981","90","17"
"3","0.9","0.9","1.4","1","32","996","64","7"
"4","0.9","0.9","1.4","1","34","927","74","7"
"2","0.9","0.9","1.4","1","38","1029","104","18"
"4","0.9","0.9","1.4","1","35","998","85","8"
"4","0.9","0.9","1.4","1","36","1052","98","9"
"1","0.9","0.9","1.4","1","34","890","64","19"
"4","0.9","0.9","1.4","1","37","1098","109","9"
"1","0.9","0.9","1.4","1","35","947","79","21"
"4","0.9","0.9","1.4","1","38","1137","137","12"
"3","0.9","0.9","1.4","1","33","1056","76","8"
"3","0.9","0.9","1.4","1","34","1087","96","8"
"1","0.9","0.9","1.4","1","36","994","96","22"
"2","0.9","0.9","1.4","1","39","1089","122","19"
"3","0.9","0.9","1.4","1","35","1126","111","10"
"1","0.9","0.9","1.4","1","37","1032","108","22"
"1","0.9","0.9","1.4","1","38","1094","123","24"
"2","0.9","0.9","1.4","1","40","1154","143","21"
"4","0.9","0.9","1.4","1","39","1185","166","17"
"1","0.9","0.9","1.4","1","39","1168","138","26"
"2","0.9","0.9","1.4","1","41","1181","170","23"
"1","0.9","0.9","1.4","1","40","1220","153","30"
"2","0.9","0.9","1.4","1","42","1239","187","25"
"3","0.9","0.9","1.4","1","36","1176","124","11"
"4","0.9","0.9","1.4","1","40","1266","182","21"
"2","0.9","0.9","1.4","1","43","1298","208","31"
"2","0.9","0.9","1.4","1","44","1361","231","36"
"2","0.9","0.9","1.4","1","45","1404","255","37"
"4","0.9","0.9","1.4","1","41","1323","197","24"
"2","0.9","0.9","1.4","1","46","1467","277","40"
"3","0.9","0.9","1.4","1","37","1259","138","12"
"1","0.9","0.9","1.4","1","41","1270","173","34"
"4","0.9","0.9","1.4","1","42","1382","233","29"
"4","0.9","0.9","1.4","1","43","1424","264","32"
"3","0.9","0.9","1.4","1","38","1296","155","14"
"1","0.9","0.9","1.4","1","42","1315","192","39"
"3","0.9","0.9","1.4","1","39","1334","181","18"
"1","0.9","0.9","1.4","1","43","1346","218","41"
"2","0.9","0.9","1.4","1","47","1526","313","43"
"4","0.9","0.9","1.4","1","44","1458","296","36"
"3","0.9","0.9","1.4","1","40","1388","205","21"
"2","0.9","0.9","1.4","1","48","1583","345","47"
"3","0.9","0.9","1.4","1","41","1461","223","24"
"2","0.9","0.9","1.4","1","49","1641","373","54"
"3","0.9","0.9","1.4","1","42","1539","241","27"
"2","0.9","0.9","1.4","1","50","1708","407","61"
"4","0.9","0.9","1.4","1","45","1533","317","40"
"2","0.9","0.9","1.4","1","51","1740","452","67"
"4","0.9","0.9","1.4","1","46","1608","349","42"
"2","0.9","0.9","1.4","1","52","1797","491","71"
"1","0.9","0.9","1.4","1","44","1402","235","44"
"4","0.9","0.9","1.4","1","47","1678","389","45"
"1","0.9","0.9","1.4","1","45","1449","269","47"
"3","0.9","0.9","1.4","1","43","1599","261","29"
"1","0.9","0.9","1.4","1","46","1505","297","49"
"2","0.9","0.9","1.4","1","53","1864","530","75"
"4","0.9","0.9","1.4","1","48","1714","431","55"
"1","0.9","0.9","1.4","1","47","1579","323","55"
"3","0.9","0.9","1.4","1","44","1658","299","37"
"4","0.9","0.9","1.4","1","49","1773","470","58"
"3","0.9","0.9","1.4","1","45","1678","345","43"
"1","0.9","0.9","1.4","1","48","1610","354","62"
"2","0.9","0.9","1.4","1","54","1924","562","81"
"3","0.9","0.9","1.4","1","46","1721","394","49"
"4","0.9","0.9","1.4","1","50","1839","496","61"
"1","0.9","0.9","1.4","1","49","1678","388","64"
"2","0.9","0.9","1.4","1","55","1986","613","87"
"3","0.9","0.9","1.4","1","47","1769","431","54"
"4","0.9","0.9","1.4","1","51","1865","539","67"
"1","0.9","0.9","1.4","1","50","1715","428","69"
"2","0.9","0.9","1.4","1","56","2033","660","88"
"4","0.9","0.9","1.4","1","52","1947","577","74"
"3","0.9","0.9","1.4","1","48","1836","477","57"
"2","0.9","0.9","1.4","1","57","2053","722","95"
"1","0.9","0.9","1.4","1","51","1798","468","75"
"4","0.9","0.9","1.4","1","53","1993","634","76"
"3","0.9","0.9","1.4","1","49","1905","521","64"
"2","0.9","0.9","1.4","1","58","2102","768","100"
"1","0.9","0.9","1.4","1","52","1877","505","78"
"3","0.9","0.9","1.4","1","50","1916","570","67"
"4","0.9","0.9","1.4","1","54","2025","683","80"
"1","0.9","0.9","1.4","1","53","1912","547","85"
"2","0.9","0.9","1.4","1","59","2161","812","104"
"1","0.9","0.9","1.4","1","54","1936","601","89"
"4","0.9","0.9","1.4","1","55","2038","746","93"
"3","0.9","0.9","1.4","1","51","1962","620","75"
"2","0.9","0.9","1.4","1","60","2184","860","110"
"4","0.9","0.9","1.4","1","56","2098","781","101"
"3","0.9","0.9","1.4","1","52","2002","672","82"
"1","0.9","0.9","1.4","1","55","1976","650","93"
"2","0.9","0.9","1.4","1","61","2180","908","121"
"1","0.9","0.9","1.4","1","56","2013","701","97"
"4","0.9","0.9","1.4","1","57","2151","816","104"
"3","0.9","0.9","1.4","1","53","2068","722","88"
"1","0.9","0.9","1.4","1","57","2056","749","102"
"2","0.9","0.9","1.4","1","62","2204","967","128"
"4","0.9","0.9","1.4","1","58","2198","856","108"
"3","0.9","0.9","1.4","1","54","2118","773","96"
"1","0.9","0.9","1.4","1","58","2072","810","107"
"4","0.9","0.9","1.4","1","59","2226","901","113"
"3","0.9","0.9","1.4","1","55","2156","833","99"
"2","0.9","0.9","1.4","1","63","2206","1035","136"
"3","0.9","0.9","1.4","1","56","2168","910","104"
"4","0.9","0.9","1.4","1","60","2231","965","121"
"1","0.9","0.9","1.4","1","59","2064","870","112"
"2","0.9","0.9","1.4","1","64","2210","1092","143"
"4","0.9","0.9","1.4","1","61","2252","1034","130"
"1","0.9","0.9","1.4","1","60","2068","931","119"
"2","0.9","0.9","1.4","1","65","2189","1165","151"
"3","0.9","0.9","1.4","1","57","2205","966","113"
"4","0.9","0.9","1.4","1","62","2248","1093","141"
"1","0.9","0.9","1.4","1","61","2061","996","120"
"3","0.9","0.9","1.4","1","58","2217","1026","118"
"2","0.9","0.9","1.4","1","66","2160","1225","155"
"4","0.9","0.9","1.4","1","63","2233","1159","150"
"3","0.9","0.9","1.4","1","59","2245","1078","125"
"1","0.9","0.9","1.4","1","62","2047","1053","127"
"2","0.9","0.9","1.4","1","67","2133","1281","171"
"2","0.9","0.9","1.4","1","68","2067","1368","183"
"4","0.9","0.9","1.4","1","64","2214","1222","158"
"3","0.9","0.9","1.4","1","60","2234","1126","131"
